feature_set,n_features,model,evaluation,window_bal_acc,window_macro_f1,window_vf_precision,window_vf_recall,window_vf_f1,window_roc_auc,record_bal_acc,record_macro_f1,record_vf_recall,record_vt_specificity,record_roc_auc
set_a_full,21,logistic_regression,5fold_stratified_groupcv,0.8158518234472062,0.7010094070128735,0.39380806411983144,0.8443022563044738,0.5337034991238147,0.870441528398627,0.8098229583095373,0.7054009819967266,0.8235294117647058,0.7961165048543689,
set_a_full,21,random_forest,5fold_stratified_groupcv,0.82153068368447,0.7308687752220235,0.4437553784926062,0.8107344775849423,0.5682321173093785,0.8836266028873586,0.8095374071958881,0.7401709401709402,0.7647058823529411,0.8543689320388349,
set_a_full,21,hist_gradient_boosting,5fold_stratified_groupcv,0.7886702685151159,0.7104905184659355,0.41836040504689687,0.7465047731970312,0.533282289994931,0.8682678996639306,0.8340948029697315,0.7486495424980708,0.8235294117647058,0.8446601941747572,
set_a_full,21,logistic_regression,cross_db_D1_c2015_to_others,0.5838313400650647,0.4658157955980706,0.43029871977240397,0.9595559080095163,0.5941566412963417,0.5849601117678027,,,,,
set_a_full,21,logistic_regression,cross_db_D2_others_to_c2015,0.675541901348353,0.6690614950387606,0.3691931540342298,0.3994708994708995,0.38373570520965694,0.8660528227294919,,,,,
set_a_full,21,random_forest,cross_db_D1_c2015_to_others,0.5130223288643722,0.46080597992642836,0.39273356401384085,0.7200634417129262,0.5082563671984327,0.5466818345568389,,,,,
set_a_full,21,random_forest,cross_db_D2_others_to_c2015,0.4885913938802161,0.4249914347406565,0.06248558911690109,0.3584656084656085,0.10642057726290988,0.48519905273937536,,,,,
set_a_full,21,hist_gradient_boosting,cross_db_D1_c2015_to_others,0.5755030472327943,0.5324406709094154,0.4378155117026159,0.7565424266455194,0.5546511627906977,0.61153260109847,,,,,
set_a_full,21,hist_gradient_boosting,cross_db_D2_others_to_c2015,0.45215817843349726,0.384864076559455,0.05333333333333334,0.37037037037037035,0.09324009324009325,0.47884236684171044,,,,,
set_b_domain_stable,6,logistic_regression,5fold_stratified_groupcv,0.7686968315372757,0.6652427385235158,0.36041973971936925,0.7685100170632393,0.48278939686000133,0.8453332853815271,0.8146773272415762,0.7136632430750078,0.8235294117647058,0.8058252427184466,
set_b_domain_stable,6,random_forest,5fold_stratified_groupcv,0.814556987278843,0.7117694066281866,0.4070233299970047,0.8193847039459534,0.5425192457036502,0.8815677865484662,0.8880639634494574,0.7726315789473684,0.9411764705882353,0.8349514563106796,
